Category,Store,Room,Quantity,Calculated Weight,Last Audit Date,Last Audit Quantity,Par Level,Brand,Product Type,Variant Type,Product Metadata,Med or Rec,Product Id,Product Name,Variant Id,Variant Name,Price Profile Name,Price,Total Price,Cost,Total Cost,SKU,Weight,Weight Unit of Measure,Reporting Unit of Measure,Created At,Inventory Notes,Last Discrepancy At,Inventory Id,Allergens,Batch Date,Batch Number,Cultivator License,Cultivator Name,Delay of Effects,Directions for Administration,ERP ID,ERP Name,Expiration Date,Extraction Method,Growth Method,Harvest Date,Ingredients,Invoice,Is Child-Resistant,Is Inhalable,Is Tamper-Evident,Is Tested,Manifest ID,Manufactured Date,MMUR Order Type,Notes,# of Seeds,# of Servings,Packaged By,Packaged Date,Paper Weight,Plant Count,Production Run Number,Registration Number,Regulatory ID,Requires Refrigeration,Secondary Supplier Licenses,Serving Size / Dosage,Solvents Used,Source Label,Storage Requirements,Strain Name,Strain Species,Supplier Address,Supplier License,Supplier Name,Supplier Phone,Tested By,Tested Date,Testing URL,Test Lot Number,Third-Party Display Name,Use By Date,Weight with Paper,% CBC,% CBC Range,% CBCV,% CBCV Range,% CBCa,% CBCa Range,% CBD,% CBD Range,% CBD-A,% CBD-A Range,% CBDV,% CBDV Range,% CBDVa,% CBDVa Range,% CBG,% CBG Range,% CBGa,% CBGa Range,% CBL,% CBL Range,% CBLa,% CBLa Range,% CBN,% CBN Range,% CBT,% CBT Range,% THC,% THC Range,% THC-A,% THC-A Range,% THCV,% THCV Range,% THCVa,% THCVa Range,% Total Active Cannabinoids (TAC),% delta-8 THC,% delta-8 THC Range,3-Carene,Borneol,Camphene,Camphor,Carvacrol,Carvone,Caryophyllene Oxide,Cedrol,Cis-Nerolidol,Cis-Ocimene,Citral,Eucalyptol,Farnesene,Farnesol isomer 1,Farnesol isomer 2,Fenchol,Fenchone,Gamma Terpinene,Geraniol,Geranyl Acetate,Grams of Concentrate,Grams of Flower,Guaiol,"High THC, Low CBD",Isoborneol,Isopulegol,Limonene,Linalool,"Low THC, High CBD",Menthol,Menthone,Mg CBC,Mg CBCV,Mg CBCa,Mg CBD,Mg CBD-A,Mg CBDV,Mg CBDVa,Mg CBG,Mg CBGa,Mg CBL,Mg CBLa,Mg CBN,Mg CBT,Mg THC,Mg THC-A,Mg THCV,Mg THCVa,Mg delta-8 THC,"Moderate THC, Moderate CBD",Nerol,Nootkatone,Octyl Acetate,Phytane,Piperitone,Pulegone,Sabinene,Sabinene Hydrate,Safranal,Squalene,Terpinen-4-ol,Terpineol,Terpinolene,Thymol,Total % THC,Total Terpenes,Total Terpenoids,Trans-Nerolidol,Trans-Ocimene,Valencene,Verbenone,m-Cymene,o-Cymene,p-Cymene,trans-β-Farnesene,α-Bisabolol,α-Cedrene,α-Humulene,α-Phellandrene,α-Pinene,α-Terpinene,α-Terpineol,α-Thujone,β-Caryophyllene,β-Myrcene,β-Ocimene,β-Pinene,γ-Terpinene,δ 3-Carene,δ-Limonene
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,3.000,,,,,3Grams,Hot Knife Attachment,Hot Knife Attachment,,,046647fe-7620-4593-948c-8f66b203e3cd,Melt Tip,7b2998a3-f220-476b-b51a-6b5aa5f3cdab,,,$20.00,$60.00,$7.00,$21.00,D0EiTdCBYq,,,,04/19/2024 11:07:33 AM,,,8a0a272c-1f8b-4464-bdf0-e673bf6d9ff9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,7.000,,,,,3Grams,Atomizer,Atomizer,,,3800c459-668c-4956-9b2c-fdc2cf9a0d27,Puffco OG 3D Chamber,3632225f-812f-4983-a7f6-7b52ee20cf8d,,,$70.00,$490.00,$25.00,$175.00,I6nx0HAkHV,,,,04/19/2024 11:26:33 AM,,06/11/2025 04:50:09 PM,1b04ae02-3f59-482f-9ce4-886ee4a4cb57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,187.000,,,0.000,0,Airo,Battery,,,,b7fa3988-114d-40e6-bf9e-aff540f56286,Battery - Airo Pro - Orange - GREEN LEAF SPECIAL,ffd5c8c0-da18-4201-9c8a-e0088c0a9c6c,,,$20.00,"$3,740.00",$8.00,"$1,496.00",810002341434,,,,04/17/2023 07:46:58 PM,,,dfd93d6f-fd5d-44b2-b6d3-b4fc69fb90b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,,Angel,Live Resin,Live Resin - I,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),3ee5ef2d-815e-41d7-9a63-074a58139b5a,Black Jack,,$10.00,$10.00,$4.00,$4.00,Fexa7qgmfh,1,Grams,each,05/29/2025 11:03:44 AM,,,8c5cd44c-4caa-4888-863e-deb66eb63bc9,,,"ABC1, Blackjack, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000064311,,,,,,,,,,020-10075932728,Telos Consulting LLC,,,,,,,,,,,,,,,0.185,,,,,,,,0,,,,,,,,,,,,61.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,16.000,16,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),4fc82ad4-6c93-4216-a112-f99d94ffabbc,Royal Highness,,$10.00,$160.00,$4.00,$64.00,F0oqv88qSi,1,Grams,each,07/03/2025 09:56:38 AM,,,a46e1933-0995-4f6c-936b-8355ff343afd,,,"ABC1, Royal Highness, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000065643,,,,,,,,,,020-10076079E78,Capitola Management LLC,,,,,,,,,,,,,,,0.197,,,,,,,,0,,,,,,,,,,,,67.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.435,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Hold Safe Rainier,20.000,20,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),b336b23f-37d8-4a0b-9516-f6a71ab8e71f,Sleepy Kush,,$10.00,$200.00,$4.00,$80.00,r6uvMKyCJ3,1,Grams,each,08/28/2025 12:59:23 PM,,,2d7704b4-8124-4da2-905c-24cd10ec1640,,,"ABC1, Indica Strains, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000068473,,,,,,,,Indica,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,0.28,,,,,,,,0,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),b336b23f-37d8-4a0b-9516-f6a71ab8e71f,Sleepy Kush,,$10.00,$20.00,$4.00,$8.00,Fuw5z1Cdqp,1,Grams,each,07/03/2025 09:56:58 AM,,,9a584cf5-9677-4a62-bfdc-8dd001d43ba1,,,"ABC1, Indica Strains, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000065645,,,,,,,,Indica,,020-1002355DD81,Gong-Ji Farm LLC,,,,,,,,,,,,,,,0.278,,,,,,,,0,,,,,,,,,,,,65.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.088,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,19.000,19,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),997c4535-880f-40c4-b10c-328ee235699b,Trop Santo,,$10.00,$190.00,$4.00,$76.00,SS3svqHJlr,1,Grams,each,08/06/2025 02:02:03 AM,,,f9fa1e2c-3f59-4b0f-8209-2f65ef1b7359,,,"ABC1, Royal Highness, Live Resin 240402, ABC1, Trop Santo, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000067346,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,0.21,,,,,,,,0,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topicals (Solid),Today's Herbal Choice | Rainier,Sales Floor Rainier,8.000,27.04,,,0,Angel,Lotion,Lotion,,REC,c0c0cb7b-c3af-4fd5-9f3b-5890facf4715,Lotion - Angel Ease - 1:1 Muscle Lotion - GREEN LEAF SPECIAL,5bd47ab1-ab40-451c-ab0c-75e8cc2d432c,,,$40.00,$320.00,$20.00,$160.00,850012090373,3.38,Grams,each,08/14/2025 11:14:55 AM,,,95a6a900-4740-49dc-a192-fc7828595911,,2020-10-16,07242025-EaseBalancedTHC/CBDNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000067699,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,5.000,16.9,,,0,Angel,Lotion,Lotion,,REC,b72f2520-d16c-48a6-853c-e0cac7ba475c,*Lotion - Ease Balanced Relief Lotion - 1000mg 1:1 CBD:CBG - GREEN LEAF SPECIAL,26888b0b-61ce-475a-859c-b52548cb63cd,,,$50.00,$250.00,$20.00,$100.00,iVTNsUcztK,3.38,FluidOunces,each,09/04/2025 10:58:47 AM,,,c02e2215-58c7-49d3-9146-02ea0d997420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068673,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.52,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topicals,Today's Herbal Choice | Rainier,Sales Floor Rainier,3.000,,,,,Angel,Roll-On,Roll-On,,REC,d8cb8628-ee37-4e12-8114-c6ce9f1cbe79,Roll On - Angel Ease 1:1 - CBD/THC,f971b000-e0bc-44cf-9310-03e630c31c77,,,$45.00,$135.00,$15.00,$45.00,afOYz2shUO,,,each,08/06/2025 02:02:01 AM,,,533ddb9a-5b40-4886-a5fe-b9f14ef884b1,,,04-02-2025-roll-ons THC:CBD NC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000067345,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
