Category,Store,Room,Quantity,Calculated Weight,Last Audit Date,Last Audit Quantity,Par Level,Brand,Product Type,Variant Type,Product Metadata,Med or Rec,Product Id,Product Name,Variant Id,Variant Name,Price Profile Name,Price,Total Price,Cost,Total Cost,SKU,Weight,Weight Unit of Measure,Reporting Unit of Measure,Created At,Inventory Notes,Last Discrepancy At,Inventory Id,Allergens,Batch Date,Batch Number,Cultivator License,Cultivator Name,Delay of Effects,Directions for Administration,ERP ID,ERP Name,Expiration Date,Extraction Method,Growth Method,Harvest Date,Ingredients,Invoice,Is Child-Resistant,Is Inhalable,Is Tamper-Evident,Is Tested,Manifest ID,Manufactured Date,MMUR Order Type,Notes,# of Seeds,# of Servings,Packaged By,Packaged Date,Paper Weight,Plant Count,Production Run Number,Registration Number,Regulatory ID,Requires Refrigeration,Secondary Supplier Licenses,Serving Size / Dosage,Solvents Used,Source Label,Storage Requirements,Strain Name,Strain Species,Supplier Address,Supplier License,Supplier Name,Supplier Phone,Tested By,Tested Date,Testing URL,Test Lot Number,Third-Party Display Name,Use By Date,Weight with Paper,% CBC,% CBC Range,% CBCV,% CBCV Range,% CBCa,% CBCa Range,% CBD,% CBD Range,% CBD-A,% CBD-A Range,% CBDV,% CBDV Range,% CBDVa,% CBDVa Range,% CBG,% CBG Range,% CBGa,% CBGa Range,% CBL,% CBL Range,% CBLa,% CBLa Range,% CBN,% CBN Range,% CBT,% CBT Range,% THC,% THC Range,% THC-A,% THC-A Range,% THCV,% THCV Range,% THCVa,% THCVa Range,% Total Active Cannabinoids (TAC),% delta-8 THC,% delta-8 THC Range,3-Carene,Borneol,Camphene,Camphor,Carvacrol,Carvone,Caryophyllene Oxide,Cedrol,Cis-Nerolidol,Cis-Ocimene,Citral,Eucalyptol,Farnesene,Farnesol isomer 1,Farnesol isomer 2,Fenchol,Fenchone,Gamma Terpinene,Geraniol,Geranyl Acetate,Grams of Concentrate,Grams of Flower,Guaiol,"High THC, Low CBD",Isoborneol,Isopulegol,Limonene,Linalool,"Low THC, High CBD",Menthol,Menthone,Mg CBC,Mg CBCV,Mg CBCa,Mg CBD,Mg CBD-A,Mg CBDV,Mg CBDVa,Mg CBG,Mg CBGa,Mg CBL,Mg CBLa,Mg CBN,Mg CBT,Mg THC,Mg THC-A,Mg THCV,Mg THCVa,Mg delta-8 THC,"Moderate THC, Moderate CBD",Nerol,Nootkatone,Octyl Acetate,Phytane,Piperitone,Pulegone,Sabinene,Sabinene Hydrate,Safranal,Squalene,Terpinen-4-ol,Terpineol,Terpinolene,Thymol,Total % THC,Total Terpenes,Total Terpenoids,Trans-Nerolidol,Trans-Ocimene,Valencene,Verbenone,m-Cymene,o-Cymene,p-Cymene,trans-β-Farnesene,α-Bisabolol,α-Cedrene,α-Humulene,α-Phellandrene,α-Pinene,α-Terpinene,α-Terpineol,α-Thujone,β-Caryophyllene,β-Myrcene,β-Ocimene,β-Pinene,γ-Terpinene,δ 3-Carene,δ-Limonene
Flower,Today's Herbal Choice | Forest Grove,Sales Floor FG,99.120,,,,,5150,Sativa,Sativa,,REC,6fd4be73-6181-4c14-8ca3-7667317f361b,Cinex,f95bec58-e0ae-4aab-ad8a-e6842e47be1b,,$12 Rack - FG,$12.00,"$1,189.44",$2.20,$218.06,VcracTtCu5,,Grams,grams,10/06/2025 06:43:02 PM,,,68bd4338-5dc0-4639-a99a-465cdc536987,,2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A4010300007D66000113653,,,,,,,,,,020-1023301F064,5150 Cannabis,,Chemhistory,2025-09-23,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Forest Grove,Sales Floor FG,9.000,,,,,Afghan Hemp,Roller,Roller,,REC,45f27606-ef2f-4546-a6cd-d120541d87c5,Roller - Afghan Hemp 110mm Roller,d423f7b6-d241-4423-b235-24e2f66290f9,,,$12.00,$108.00,$1.15,$10.35,7farkn2qhT,,,,10/21/2024 02:55:09 PM,,,6e87df76-b64f-4c97-87d7-fe71af85618c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Forest Grove,Sales Floor FG,11.000,,,,,Afghan Hemp,Roller,Roller,,REC,eaae03e5-501f-4e34-8c86-174f155cd9da,Roller - Afghan Hemp 79mm Roller,637671f8-61d7-45f2-b3a2-ed9eacdcc29b,,,$10.00,$110.00,$1.15,$12.65,ozhPGNOcNm,,,,10/21/2024 02:55:09 PM,,,8aed4179-0b01-4ad7-bec7-0b104d844ce0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Roll,Today's Herbal Choice | Forest Grove,Hold Safe FG,107.000,53.5,,,,Alta Gardens,Preroll - H,Preroll - H,,REC,813ad18a-4ccb-4d99-ae27-0a445b2ba045,** .5g Usable Marijuana Preroll - Chimera - GREEN LEAF SPECIAL,aea5c2ad-679a-4540-9386-822cb517784c,,,$1.00,$107.00,$0.22,$23.54,IwqHPEKl1Z,0.5,Grams,each,10/16/2025 07:49:25 PM,,,e5287d0e-a5c2-4ce2-a687-7695dce52f8e,,2024-10-17,7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030005D431000000281,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-06-23,,,,,0.75,,,,,,,0,,,,,,,,,,,,,,,,,,,,28.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Joints To Roll,23.540,,,,,Alta Gardens,Sativa,Sativa,,REC,f2cf92dc-84c2-4d43-9467-bf48c9771428,Amnesia Haze,73658b3a-5ee3-44bd-9773-bdf742a6b5c8,,$4 - Rack - FG,$4.00,$94.16,$0.44,$10.36,fp7k3dNZnq,,Grams,grams,07/17/2025 01:51:16 PM,,,f487f784-25ce-4e18-b461-a2cee5fc4ded,,2024-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027290,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-05-02,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Joints To Roll,62.570,,,,,Alta Gardens,Indica,Indica,,REC,98eedbb3-10f9-4197-af6d-6cffff1b462d,** Black Magic - GREEN LEAF SPECIAL,2a34ed8f-606c-42de-897b-00a6e21fb5c5,,$30 Oz - FG,$2.25,$140.78,$0.44,$27.53,SL352LsPdo,,Grams,grams,07/17/2025 01:34:44 PM,,,83fd72dc-343f-44d9-bde2-d28e27f5d6e0,,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027302,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-06-23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,20.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Joints To Roll,60.050,,,,,Alta Gardens,Hybrid,Hybrid,,REC,826db749-d9c1-40c6-9703-63a7a9621b02,Chimera - FG,84ccf7d5-270f-4534-9fca-0ae58872f394,,$7 - Rack - FG,$7.00,$420.35,$0.44,$26.42,olB1VxgXuY,,Grams,grams,07/17/2025 02:30:35 PM,,,a746c8f5-fa16-48aa-bfe9-dda20c08b664,,2024-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027306,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-06-23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,28.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Sales Floor FG,372.280,,,,,Alta Gardens,Hybrid,Hybrid,,REC,826db749-d9c1-40c6-9703-63a7a9621b02,Chimera - FG,84ccf7d5-270f-4534-9fca-0ae58872f394,,$7 - Rack - FG,$7.00,"$2,605.96",$0.44,$163.80,olB1VxgXuY,,Grams,grams,07/17/2025 02:30:35 PM,,,a746c8f5-fa16-48aa-bfe9-dda20c08b664,,2024-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027306,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-06-23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,28.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Joints To Roll,69.610,,,,,Alta Gardens,Indica Hybrid,Indica Hybrid,,REC,5ffa9ddf-f47b-406d-907d-2fe2774db5f0,** Coconut Milk - GREEN LEAF SPECIAL - FG,da85fefb-0a16-4397-8733-7827e2c6a936,,$30 Oz - FG,$2.25,$156.62,$0.44,$30.63,d6JEfaCQmi,,Grams,grams,07/17/2025 02:19:38 PM,,,7ca9650f-faaf-44c2-9116-d78ef3785c31,,2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027312,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-04-17,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,21.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Today's Herbal Choice | Forest Grove,Joints To Roll,0.120,,,,,Alta Gardens,Sativa Hybrid,Sativa Hybrid,,REC,325d2113-7f5e-4413-86f5-78dee519bd73,** College Park - GREEN LEAF SPECIAL,1287aa43-ce37-48ce-9887-21843f4ac3e0,,$30 Oz - FG,$2.25,$0.27,$0.44,$0.05,gaOApL3gCj,,Grams,grams,07/17/2025 02:42:53 PM,,09/26/2025 07:46:41 PM,795f104f-070c-4f63-85b0-aafb1333db3d,,2024-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC01030000A85E000027328,,,,,,,,,,020-1004548614C,Alta Gardens,,Green Leaf Lab,2025-06-16,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Forest Grove,Hold Safe FG,7.000,7,,,,Angel,AIO - 2:1 CBG:CBD,AIO - 2:1 CBG:CBD,,REC,f3a0d7d4-bde0-4d37-b849-678e0cbbb4bd,AIO - 1g Angel Zoom CBG:CBD - Lindorea,a5033d40-02db-406b-ae0a-6bcc4341ebff,,,$40.00,$280.00,$16.33,$114.31,KBvIkOFnX0,1,Grams,each,10/15/2025 10:06:14 PM,,,459ae6c6-1146-4862-be2f-677c30da7bbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070649,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
