Category,Store,Room,Quantity,Calculated Weight,Last Audit Date,Last Audit Quantity,Par Level,Brand,Product Type,Variant Type,Product Metadata,Med or Rec,Product Id,Product Name,Variant Id,Variant Name,Price Profile Name,Price,Total Price,Cost,Total Cost,SKU,Weight,Weight Unit of Measure,Reporting Unit of Measure,Created At,Inventory Notes,Last Discrepancy At,Inventory Id,Allergens,Batch Date,Batch Number,Cultivator License,Cultivator Name,Delay of Effects,Directions for Administration,ERP ID,ERP Name,Expiration Date,Extraction Method,Growth Method,Harvest Date,Ingredients,Invoice,Is Child-Resistant,Is Inhalable,Is Tamper-Evident,Is Tested,Manifest ID,Manufactured Date,MMUR Order Type,Notes,# of Seeds,# of Servings,Packaged By,Packaged Date,Paper Weight,Plant Count,Production Run Number,Registration Number,Regulatory ID,Requires Refrigeration,Secondary Supplier Licenses,Serving Size / Dosage,Solvents Used,Source Label,Storage Requirements,Strain Name,Strain Species,Supplier Address,Supplier License,Supplier Name,Supplier Phone,Tested By,Tested Date,Testing URL,Test Lot Number,Third-Party Display Name,Use By Date,Weight with Paper,% CBC,% CBC Range,% CBCV,% CBCV Range,% CBCa,% CBCa Range,% CBD,% CBD Range,% CBD-A,% CBD-A Range,% CBDV,% CBDV Range,% CBDVa,% CBDVa Range,% CBG,% CBG Range,% CBGa,% CBGa Range,% CBL,% CBL Range,% CBLa,% CBLa Range,% CBN,% CBN Range,% CBT,% CBT Range,% THC,% THC Range,% THC-A,% THC-A Range,% THCV,% THCV Range,% THCVa,% THCVa Range,% Total Active Cannabinoids (TAC),% delta-8 THC,% delta-8 THC Range,3-Carene,Borneol,Camphene,Camphor,Carvacrol,Carvone,Caryophyllene Oxide,Cedrol,Cis-Nerolidol,Cis-Ocimene,Citral,Eucalyptol,Farnesene,Farnesol isomer 1,Farnesol isomer 2,Fenchol,Fenchone,Gamma Terpinene,Geraniol,Geranyl Acetate,Grams of Concentrate,Grams of Flower,Guaiol,"High THC, Low CBD",Isoborneol,Isopulegol,Limonene,Linalool,"Low THC, High CBD",Menthol,Menthone,Mg CBC,Mg CBCV,Mg CBCa,Mg CBD,Mg CBD-A,Mg CBDV,Mg CBDVa,Mg CBG,Mg CBGa,Mg CBL,Mg CBLa,Mg CBN,Mg CBT,Mg THC,Mg THC-A,Mg THCV,Mg THCVa,Mg delta-8 THC,"Moderate THC, Moderate CBD",Nerol,Nootkatone,Octyl Acetate,Phytane,Piperitone,Pulegone,Sabinene,Sabinene Hydrate,Safranal,Squalene,Terpinen-4-ol,Terpineol,Terpinolene,Thymol,Total % THC,Total Terpenes,Total Terpenoids,Trans-Nerolidol,Trans-Ocimene,Valencene,Verbenone,m-Cymene,o-Cymene,p-Cymene,trans-β-Farnesene,α-Bisabolol,α-Cedrene,α-Humulene,α-Phellandrene,α-Pinene,α-Terpinene,α-Terpineol,α-Thujone,β-Caryophyllene,β-Myrcene,β-Ocimene,β-Pinene,γ-Terpinene,δ 3-Carene,δ-Limonene
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,3.000,,,,,3Grams,Hot Knife Attachment,Hot Knife Attachment,,,046647fe-7620-4593-948c-8f66b203e3cd,Melt Tip,7b2998a3-f220-476b-b51a-6b5aa5f3cdab,,,$20.00,$60.00,$7.00,$21.00,D0EiTdCBYq,,,,04/19/2024 11:07:33 AM,,,8a0a272c-1f8b-4464-bdf0-e673bf6d9ff9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,7.000,,,,,3Grams,Atomizer,Atomizer,,,3800c459-668c-4956-9b2c-fdc2cf9a0d27,Puffco OG 3D Chamber,3632225f-812f-4983-a7f6-7b52ee20cf8d,,,$70.00,$490.00,$25.00,$175.00,I6nx0HAkHV,,,,04/19/2024 11:26:33 AM,,06/11/2025 04:50:09 PM,1b04ae02-3f59-482f-9ce4-886ee4a4cb57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Today's Herbal Choice | Rainier,Sales Floor Rainier,187.000,,,0.000,0,Airo,Battery,,,,b7fa3988-114d-40e6-bf9e-aff540f56286,Battery - Airo Pro - Orange - GREEN LEAF SPECIAL,ffd5c8c0-da18-4201-9c8a-e0088c0a9c6c,,,$20.00,"$3,740.00",$8.00,"$1,496.00",810002341434,,,,04/17/2023 07:46:58 PM,,,dfd93d6f-fd5d-44b2-b6d3-b4fc69fb90b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,9.000,2.97,,,,Angel,Tincture,Tincture,,REC,c19811c5-f8db-4c54-ac47-bf8f219866b5,Angel THC Drops Tincture - 1000mg,d321a0f0-d80d-499b-b18d-41e45df4b53f,Indica,,$30.00,$270.00,$12.00,$108.00,850012090809,0.33,FluidOunces,each,09/24/2025 07:38:59 PM,,,e90d5490-1473-451c-879b-22ca68b89fa5,,,08-26-25-1k-10ml IndicaNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000069823,,,,,,,,,,020-10041847FC2,Epic Family Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Fix,1.000,0.33,,,,Angel,Tincture,Tincture,,REC,c19811c5-f8db-4c54-ac47-bf8f219866b5,Angel THC Drops Tincture - 1000mg,675ab914-37f3-421b-848d-b4607b224bc8,Sativa,,$30.00,$30.00,$12.00,$12.00,wPXLxykPyi,0.33,FluidOunces,each,09/19/2025 12:56:04 PM,,,7acb0306-4b47-482a-ae02-25eefcd2ea02,,,1k-10ml THC Sativa NC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000069489,,,,,,,,,,020-10041847FC2,Epic Family Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Hold Safe Rainier,15.000,4.95,,,,Angel,Tincture,Tincture,,REC,c19811c5-f8db-4c54-ac47-bf8f219866b5,Angel THC Drops Tincture - 1000mg,675ab914-37f3-421b-848d-b4607b224bc8,Sativa,,$30.00,$450.00,$12.00,$180.00,qslQjgc02y,0.33,FluidOunces,each,09/30/2025 12:26:38 PM,,,9e22d030-758e-469b-bb16-0b4d2ed641b5,,,1k-10ml THC Sativa NC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000070069,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,3.000,0.99,,,,Angel,Tincture,Tincture,,REC,c19811c5-f8db-4c54-ac47-bf8f219866b5,Angel THC Drops Tincture - 1000mg,675ab914-37f3-421b-848d-b4607b224bc8,Sativa,,$30.00,$90.00,$12.00,$36.00,KXswkcg88s,0.33,FluidOunces,each,09/24/2025 07:39:15 PM,,,ee3a7383-406c-49fd-ac75-613b9ead66b6,,,1k-10ml THC Sativa NC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000069824,,,,,,,,,,020-10041847FC2,Epic Family Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,7.000,7,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),4fc82ad4-6c93-4216-a112-f99d94ffabbc,Royal Highness,,$10.00,$70.00,$4.00,$28.00,F0oqv88qSi,1,Grams,each,07/03/2025 09:56:38 AM,,,a46e1933-0995-4f6c-936b-8355ff343afd,,,"ABC1, Royal Highness, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000065643,,,,,,,,,,020-10076079E78,Capitola Management LLC,,,,,,,,,,,,,,,0.197,,,,,,,,0,,,,,,,,,,,,67.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.435,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),b336b23f-37d8-4a0b-9516-f6a71ab8e71f,Sleepy Kush,,$10.00,$10.00,$4.00,$4.00,r6uvMKyCJ3,1,Grams,each,08/28/2025 12:59:23 PM,,09/26/2025 09:28:35 AM,2d7704b4-8124-4da2-905c-24cd10ec1640,,,"ABC1, Indica Strains, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000068473,,,,,,,,Indica,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,0.28,,,,,,,,0,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracts,Today's Herbal Choice | Rainier,Sales Floor Rainier,13.000,13,,,,Angel,Live Resin,Live Resin,,REC,59e2529a-91cc-44e0-9d67-9944c5ce3293,*Live Resin - 1g Angel - GREEN LEAF SPECIAL (R),997c4535-880f-40c4-b10c-328ee235699b,Trop Santo,,$10.00,$130.00,$4.00,$52.00,SS3svqHJlr,1,Grams,each,08/06/2025 02:02:03 AM,,,f9fa1e2c-3f59-4b0f-8209-2f65ef1b7359,,,"ABC1, Royal Highness, Live Resin 240402, ABC1, Trop Santo, Live Resin 240402",,,,,,,,,,,,,,false,,,,,,,,,,,,,,,1A401030000AAB8000067346,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,0.21,,,,,,,,0,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topicals (Solid),Today's Herbal Choice | Rainier,Sales Floor Rainier,5.000,16.9,,,0,Angel,Lotion,Lotion,,REC,c0c0cb7b-c3af-4fd5-9f3b-5890facf4715,Lotion - Angel Ease - 1:1 Muscle Lotion - GREEN LEAF SPECIAL,5bd47ab1-ab40-451c-ab0c-75e8cc2d432c,,,$40.00,$200.00,$20.00,$100.00,850012090373,3.38,Grams,each,08/14/2025 11:14:55 AM,,,95a6a900-4740-49dc-a192-fc7828595911,,2020-10-16,07242025-EaseBalancedTHC/CBDNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000067699,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
